Date,Product,Category,Quantity,Unit_Price,Sales
2025-02-06,Classic Leather Belt,Fashion,2,22.0,44.95
2025-02-06,Non-Stick Frying Pan Set,Home & Kitchen,2,38.0,85.39
2025-02-07,Noise-Cancelling Headphones,Electronics,1,120.0,124.18
2025-02-07,Premium Extra Virgin Olive Oil,Groceries,1,22.0,22.95
2025-02-07,Air Fryer 4L,Home & Kitchen,4,95.0,398.01
2025-02-08,Portable External SSD 1TB,Electronics,2,110.0,230.19
2025-02-08,Portable External SSD 1TB,Electronics,2,104.5,218.12
2025-02-09,Slim Fit Denim Jeans,Fashion,6,47.25,319.3
2025-02-10,Air Fryer 4L,Home & Kitchen,2,85.5,189.81
2025-02-10,Casual Canvas Sneakers,Fashion,1,55.0,59.85
2025-02-11,Premium Extra Virgin Olive Oil,Groceries,1,20.9,21.71
2025-02-11,Stainless Steel Water Bottle,Home & Kitchen,1,15.0,16.49
2025-02-12,Stainless Steel Water Bottle,Home & Kitchen,5,13.5,72.68
2025-02-13,Premium Extra Virgin Olive Oil,Groceries,4,23.1,105.02
2025-02-13,Non-Stick Frying Pan Set,Home & Kitchen,4,42.0,178.22
2025-02-14,USB-C Fast Charger,Electronics,4,20.0,87.65
2025-02-15,Stainless Steel Water Bottle,Home & Kitchen,6,14.25,93.08
2025-02-15,Air Fryer 4L,Home & Kitchen,4,99.75,443.66
2025-02-15,Stainless Steel Water Bottle,Home & Kitchen,2,15.0,32.66
2025-02-15,Classic Leather Belt,Fashion,6,19.8,124.22
2025-02-16,Casual Canvas Sneakers,Fashion,4,57.75,248.31
2025-02-16,Air Fryer 4L,Home & Kitchen,5,95.0,504.72
2025-02-17,Casual Canvas Sneakers,Fashion,1,52.25,55.4
2025-02-17,Almonds & Cashews Trail Mix,Groceries,4,13.3,57.01
2025-02-17,Automatic Drip Coffee Maker,Home & Kitchen,3,78.75,248.81
2025-02-18,Smart Fitness Watch,Electronics,3,80.75,269.17
2025-02-19,Wireless Bluetooth Mouse,Electronics,3,25.0,81.04
2025-02-19,USB-C Fast Charger,Electronics,4,18.0,78.27
2025-02-20,Mechanical Keyboard,Electronics,2,65.0,137.07
2025-02-21,Smart Fitness Watch,Electronics,4,89.25,382.62
2025-02-22,Organic Green Tea Box,Groceries,5,12.0,64.95
2025-02-22,Smart Fitness Watch,Electronics,2,80.75,180.53
2025-02-22,Stainless Steel Water Bottle,Home & Kitchen,3,15.75,49.95
2025-02-22,Noise-Cancelling Headphones,Electronics,6,120.0,778.29
2025-02-23,Non-Stick Frying Pan Set,Home & Kitchen,1,40.0,45.51
2025-02-23,Classic Leather Belt,Fashion,1,20.9,24.06
2025-02-24,Wireless Bluetooth Mouse,Electronics,2,26.25,59.62
2025-02-25,Non-Stick Frying Pan Set,Home & Kitchen,1,40.0,45.29
2025-02-25,Non-Stick Frying Pan Set,Home & Kitchen,4,36.0,166.06
2025-02-25,Air Fryer 4L,Home & Kitchen,1,99.75,111.69
2025-02-26,Stainless Steel Water Bottle,Home & Kitchen,2,15.0,34.75
2025-02-27,Organic Green Tea Box,Groceries,1,12.0,13.15
2025-02-28,Mechanical Keyboard,Electronics,3,65.0,213.01
2025-02-28,Organic Roasted Coffee Beans,Groceries,4,16.0,70.16
2025-02-28,Organic Roasted Coffee Beans,Groceries,4,15.2,67.98
2025-03-01,Organic Roasted Coffee Beans,Groceries,3,15.2,53.16
2025-03-01,Organic Green Tea Box,Groceries,1,12.6,14.51
2025-03-01,Casual Canvas Sneakers,Fashion,1,49.5,53.82
2025-03-01,Noise-Cancelling Headphones,Electronics,1,114.0,127.43
2025-03-02,Non-Stick Frying Pan Set,Home & Kitchen,6,38.0,254.26
2025-03-02,Classic Leather Belt,Fashion,3,23.1,79.53
2025-03-02,Cotton Crewneck T-Shirt,Fashion,5,18.0,99.19
2025-03-02,Stainless Steel Water Bottle,Home & Kitchen,5,15.75,88.9
2025-03-03,Premium Extra Virgin Olive Oil,Groceries,4,22.0,97.08
2025-03-03,Organic Green Tea Box,Groceries,3,11.4,38.65
2025-03-03,Classic Leather Belt,Fashion,1,22.0,25.19
2025-03-04,Premium Extra Virgin Olive Oil,Groceries,5,20.9,117.48
2025-03-04,Stainless Steel Water Bottle,Home & Kitchen,4,15.0,64.17
2025-03-05,Premium Extra Virgin Olive Oil,Groceries,1,22.0,24.37
2025-03-06,Organic Roasted Coffee Beans,Groceries,3,16.8,56.17
2025-03-06,Non-Stick Frying Pan Set,Home & Kitchen,1,38.0,43.43
2025-03-06,Automatic Drip Coffee Maker,Home & Kitchen,1,67.5,78.12
2025-03-07,Noise-Cancelling Headphones,Electronics,2,108.0,233.0
2025-03-07,USB-C Fast Charger,Electronics,3,19.0,62.76
2025-03-07,Premium Extra Virgin Olive Oil,Groceries,2,23.1,54.14
2025-03-08,Premium Extra Virgin Olive Oil,Groceries,3,22.0,74.41
2025-03-08,Noise-Cancelling Headphones,Electronics,4,114.0,494.2
2025-03-08,Air Fryer 4L,Home & Kitchen,6,95.0,667.52
2025-03-09,Organic Roasted Coffee Beans,Groceries,3,16.0,54.84
2025-03-09,Stainless Steel Water Bottle,Home & Kitchen,5,15.75,92.56
2025-03-10,Smart Fitness Watch,Electronics,5,85.0,496.11
2025-03-10,Casual Canvas Sneakers,Fashion,2,57.75,127.94
2025-03-10,Cotton Crewneck T-Shirt,Fashion,1,18.0,19.49
2025-03-11,Cotton Crewneck T-Shirt,Fashion,3,18.0,59.46
2025-03-11,Casual Canvas Sneakers,Fashion,3,55.0,195.54
2025-03-12,Air Fryer 4L,Home & Kitchen,1,85.5,93.97
2025-03-12,Classic Leather Belt,Fashion,3,22.0,71.58
2025-03-13,Noise-Cancelling Headphones,Electronics,3,120.0,414.6
2025-03-13,Stainless Steel Water Bottle,Home & Kitchen,2,15.75,37.36
2025-03-13,Automatic Drip Coffee Maker,Home & Kitchen,1,75.0,89.16
2025-03-14,Organic Roasted Coffee Beans,Groceries,2,14.4,32.3
2025-03-14,Organic Roasted Coffee Beans,Groceries,1,16.8,18.52
2025-03-15,Premium Extra Virgin Olive Oil,Groceries,6,22.0,153.02
2025-03-15,Stainless Steel Water Bottle,Home & Kitchen,4,15.0,71.86
2025-03-15,Stainless Steel Water Bottle,Home & Kitchen,4,15.0,65.74
2025-03-16,Noise-Cancelling Headphones,Electronics,1,126.0,151.46
2025-03-16,USB-C Fast Charger,Electronics,3,21.0,70.19
2025-03-17,Slim Fit Denim Jeans,Fashion,2,42.75,101.16
2025-03-17,USB-C Fast Charger,Electronics,2,21.0,47.1
2025-03-17,Cotton Crewneck T-Shirt,Fashion,1,18.0,21.3
2025-03-18,Stainless Steel Water Bottle,Home & Kitchen,2,14.25,33.63
2025-03-19,Portable External SSD 1TB,Electronics,1,110.0,127.11
2025-03-19,Noise-Cancelling Headphones,Electronics,2,108.0,254.93
2025-03-19,Non-Stick Frying Pan Set,Home & Kitchen,1,40.0,47.76
2025-03-20,Noise-Cancelling Headphones,Electronics,4,108.0,490.51
2025-03-20,Cotton Crewneck T-Shirt,Fashion,2,18.9,43.91
2025-03-21,Almonds & Cashews Trail Mix,Groceries,4,14.0,62.25
2025-03-21,Portable External SSD 1TB,Electronics,2,104.5,239.94
2025-03-22,Organic Roasted Coffee Beans,Groceries,4,16.0,73.31
2025-03-22,Classic Leather Belt,Fashion,1,19.8,22.03
2025-03-22,Portable External SSD 1TB,Electronics,5,115.5,640.42
2025-03-23,Noise-Cancelling Headphones,Electronics,5,120.0,722.86
2025-03-23,USB-C Fast Charger,Electronics,4,21.0,97.68
2025-03-23,Classic Leather Belt,Fashion,3,22.0,79.34
2025-03-23,Stainless Steel Water Bottle,Home & Kitchen,4,15.0,72.13
2025-03-24,Smart Fitness Watch,Electronics,3,85.0,302.84
2025-03-24,Air Fryer 4L,Home & Kitchen,3,90.25,317.24
2025-03-24,Organic Roasted Coffee Beans,Groceries,2,14.4,32.15
2025-03-25,Classic Leather Belt,Fashion,4,20.9,96.21
2025-03-25,Stainless Steel Water Bottle,Home & Kitchen,1,15.75,17.54
2025-03-25,USB-C Fast Charger,Electronics,4,20.0,94.28
2025-03-26,Automatic Drip Coffee Maker,Home & Kitchen,1,67.5,77.13
2025-03-26,Almonds & Cashews Trail Mix,Groceries,1,14.7,16.41
2025-03-27,Automatic Drip Coffee Maker,Home & Kitchen,2,75.0,172.48
2025-03-28,Organic Green Tea Box,Groceries,2,12.6,30.14
2025-03-29,Noise-Cancelling Headphones,Electronics,1,120.0,146.81
2025-03-29,Non-Stick Frying Pan Set,Home & Kitchen,6,40.0,275.83
2025-03-29,Organic Roasted Coffee Beans,Groceries,4,16.8,78.58
2025-03-29,Stainless Steel Water Bottle,Home & Kitchen,6,14.25,99.73
2025-03-30,Almonds & Cashews Trail Mix,Groceries,4,13.3,59.91
2025-03-30,Smart Fitness Watch,Electronics,3,85.0,295.41
2025-03-31,Slim Fit Denim Jeans,Fashion,1,42.75,48.72
2025-03-31,Cotton Crewneck T-Shirt,Fashion,2,18.0,42.26
2025-03-31,Almonds & Cashews Trail Mix,Groceries,3,12.6,44.39
2025-04-01,Air Fryer 4L,Home & Kitchen,1,85.5,98.98
2025-04-01,Organic Roasted Coffee Beans,Groceries,1,16.0,18.08
2025-04-01,Smart Fitness Watch,Electronics,4,89.25,440.39
2025-04-02,Noise-Cancelling Headphones,Electronics,2,120.0,283.72
2025-04-02,Noise-Cancelling Headphones,Electronics,1,120.0,148.68
2025-04-02,Smart Fitness Watch,Electronics,2,85.0,210.81
2025-04-03,Casual Canvas Sneakers,Fashion,4,55.0,258.1
2025-04-03,Stainless Steel Water Bottle,Home & Kitchen,3,13.5,48.23
2025-04-03,Almonds & Cashews Trail Mix,Groceries,3,14.7,54.16
2025-04-04,Smart Fitness Watch,Electronics,2,85.0,211.05
2025-04-04,Premium Extra Virgin Olive Oil,Groceries,1,22.0,26.47
2025-04-05,Portable External SSD 1TB,Electronics,6,99.0,695.98
2025-04-05,Slim Fit Denim Jeans,Fashion,5,45.0,259.07
2025-04-06,USB-C Fast Charger,Electronics,1,21.0,25.83
2025-04-07,Portable External SSD 1TB,Electronics,3,115.5,397.79
2025-04-07,Premium Extra Virgin Olive Oil,Groceries,2,23.1,56.77
2025-04-07,Classic Leather Belt,Fashion,1,20.9,26.08
2025-04-08,Non-Stick Frying Pan Set,Home & Kitchen,2,40.0,99.97
2025-04-08,Premium Extra Virgin Olive Oil,Groceries,3,23.1,86.75
2025-04-08,Almonds & Cashews Trail Mix,Groceries,4,14.0,69.98
2025-04-09,Casual Canvas Sneakers,Fashion,1,55.0,66.14
2025-04-10,USB-C Fast Charger,Electronics,1,20.0,23.84
2025-04-11,Classic Leather Belt,Fashion,1,20.9,25.87
2025-04-11,Stainless Steel Water Bottle,Home & Kitchen,4,15.75,74.65
2025-04-11,Organic Roasted Coffee Beans,Groceries,3,16.0,60.08
2025-04-12,Slim Fit Denim Jeans,Fashion,1,45.0,55.15
2025-04-12,Classic Leather Belt,Fashion,6,19.8,135.93
2025-04-12,Slim Fit Denim Jeans,Fashion,5,45.0,263.35
2025-04-12,Wireless Bluetooth Mouse,Electronics,3,26.25,94.25
2025-04-13,Portable External SSD 1TB,Electronics,3,110.0,394.51
2025-04-13,Automatic Drip Coffee Maker,Home & Kitchen,5,67.5,407.3
2025-04-14,Smart Fitness Watch,Electronics,1,85.0,97.83
2025-04-14,Almonds & Cashews Trail Mix,Groceries,3,14.0,52.11
2025-04-15,Cotton Crewneck T-Shirt,Fashion,3,18.0,65.53
2025-04-15,Classic Leather Belt,Fashion,4,20.9,96.58
2025-04-16,USB-C Fast Charger,Electronics,2,19.0,47.75
2025-04-16,Air Fryer 4L,Home & Kitchen,5,99.75,601.88
2025-04-17,Casual Canvas Sneakers,Fashion,3,49.5,186.57
2025-04-18,Stainless Steel Water Bottle,Home & Kitchen,3,15.0,55.96
2025-04-18,Almonds & Cashews Trail Mix,Groceries,2,14.0,33.54
2025-04-19,Portable External SSD 1TB,Electronics,5,115.5,737.01
2025-04-19,Casual Canvas Sneakers,Fashion,4,55.0,271.82
2025-04-19,Non-Stick Frying Pan Set,Home & Kitchen,5,40.0,239.59
2025-04-19,Portable External SSD 1TB,Electronics,4,110.0,522.98
2025-04-20,Almonds & Cashews Trail Mix,Groceries,3,13.3,50.29
2025-04-21,Organic Roasted Coffee Beans,Groceries,2,16.0,38.5
2025-04-21,Smart Fitness Watch,Electronics,2,85.0,204.75
2025-04-21,Smart Fitness Watch,Electronics,2,85.0,203.55
2025-04-22,Cotton Crewneck T-Shirt,Fashion,1,18.0,22.04
2025-04-22,USB-C Fast Charger,Electronics,3,19.0,73.11
2025-04-23,Premium Extra Virgin Olive Oil,Groceries,1,19.8,24.12
2025-04-23,Organic Roasted Coffee Beans,Groceries,3,14.4,53.14
2025-04-24,Automatic Drip Coffee Maker,Home & Kitchen,2,78.75,187.77
2025-04-24,Slim Fit Denim Jeans,Fashion,2,40.5,97.92
2025-04-25,Non-Stick Frying Pan Set,Home & Kitchen,2,36.0,84.58
2025-04-25,Organic Green Tea Box,Groceries,5,12.6,74.07
2025-04-25,Stainless Steel Water Bottle,Home & Kitchen,4,15.75,76.16
2025-04-26,Classic Leather Belt,Fashion,2,23.1,54.85
2025-04-26,Slim Fit Denim Jeans,Fashion,5,42.75,258.86
2025-04-26,Stainless Steel Water Bottle,Home & Kitchen,4,15.75,75.74
2025-04-27,Smart Fitness Watch,Electronics,3,89.25,318.46
2025-04-27,Stainless Steel Water Bottle,Home & Kitchen,1,15.75,18.95
2025-04-27,Classic Leather Belt,Fashion,1,23.1,27.86
2025-04-27,Non-Stick Frying Pan Set,Home & Kitchen,3,40.0,144.85
2025-04-28,Mechanical Keyboard,Electronics,4,65.0,311.34
2025-04-29,Casual Canvas Sneakers,Fashion,3,55.0,213.63
2025-04-29,Casual Canvas Sneakers,Fashion,1,55.0,65.41
2025-04-29,Premium Extra Virgin Olive Oil,Groceries,2,22.0,56.81
2025-04-30,Premium Extra Virgin Olive Oil,Groceries,2,23.1,58.46
2025-04-30,Slim Fit Denim Jeans,Fashion,5,45.0,278.52
2025-04-30,Non-Stick Frying Pan Set,Home & Kitchen,1,40.0,49.55
2025-05-01,Casual Canvas Sneakers,Fashion,1,55.0,68.87
2025-05-02,Almonds & Cashews Trail Mix,Groceries,1,14.0,16.75
2025-05-02,Air Fryer 4L,Home & Kitchen,4,95.0,450.78
2025-05-02,Casual Canvas Sneakers,Fashion,3,57.75,214.11
2025-05-03,Mechanical Keyboard,Electronics,1,65.0,81.33
2025-05-03,Automatic Drip Coffee Maker,Home & Kitchen,3,75.0,279.9
2025-05-03,Wireless Bluetooth Mouse,Electronics,3,25.0,93.48
2025-05-03,Slim Fit Denim Jeans,Fashion,5,45.0,270.45
2025-05-04,Non-Stick Frying Pan Set,Home & Kitchen,4,36.0,177.06
2025-05-04,Noise-Cancelling Headphones,Electronics,5,108.0,679.36
2025-05-04,Automatic Drip Coffee Maker,Home & Kitchen,1,71.25,88.99
2025-05-04,Premium Extra Virgin Olive Oil,Groceries,2,19.8,47.82
2025-05-05,Non-Stick Frying Pan Set,Home & Kitchen,2,38.0,94.0
2025-05-05,Organic Roasted Coffee Beans,Groceries,2,16.8,41.2
2025-05-06,Organic Green Tea Box,Groceries,4,12.0,62.47
2025-05-06,Air Fryer 4L,Home & Kitchen,3,90.25,353.92
2025-05-06,Air Fryer 4L,Home & Kitchen,2,95.0,243.94
2025-05-07,Classic Leather Belt,Fashion,3,23.1,90.53
2025-05-07,Air Fryer 4L,Home & Kitchen,1,99.75,123.38
2025-05-07,Almonds & Cashews Trail Mix,Groceries,2,14.0,36.65
2025-05-08,Non-Stick Frying Pan Set,Home & Kitchen,3,38.0,138.7
2025-05-09,Air Fryer 4L,Home & Kitchen,2,99.75,244.04
2025-05-09,Portable External SSD 1TB,Electronics,2,99.0,238.75
2025-05-09,Non-Stick Frying Pan Set,Home & Kitchen,1,38.0,45.37
2025-05-10,Organic Green Tea Box,Groceries,6,12.0,88.96
2025-05-10,Wireless Bluetooth Mouse,Electronics,3,22.5,88.42
2025-05-10,Classic Leather Belt,Fashion,3,19.8,78.44
2025-05-11,Casual Canvas Sneakers,Fashion,1,57.75,73.51
2025-05-11,Air Fryer 4L,Home & Kitchen,6,99.75,755.94
2025-05-11,Classic Leather Belt,Fashion,4,19.8,98.1
2025-05-12,Almonds & Cashews Trail Mix,Groceries,2,14.0,36.36
2025-05-12,Slim Fit Denim Jeans,Fashion,5,47.25,293.02
2025-05-12,Organic Roasted Coffee Beans,Groceries,2,16.0,39.67
2025-05-13,USB-C Fast Charger,Electronics,4,20.0,105.71
2025-05-14,USB-C Fast Charger,Electronics,3,18.0,69.51
2025-05-14,Almonds & Cashews Trail Mix,Groceries,2,14.7,38.8
2025-05-15,Stainless Steel Water Bottle,Home & Kitchen,3,14.25,52.68
2025-05-15,Classic Leather Belt,Fashion,2,23.1,57.84
2025-05-15,Premium Extra Virgin Olive Oil,Groceries,2,23.1,60.77
2025-05-16,Almonds & Cashews Trail Mix,Groceries,1,12.6,15.3
2025-05-17,Slim Fit Denim Jeans,Fashion,5,45.0,275.22
2025-05-17,Classic Leather Belt,Fashion,2,22.0,57.7
2025-05-17,Premium Extra Virgin Olive Oil,Groceries,6,19.8,152.0
2025-05-18,Noise-Cancelling Headphones,Electronics,5,114.0,731.87
2025-05-18,Noise-Cancelling Headphones,Electronics,4,126.0,673.82
2025-05-18,Noise-Cancelling Headphones,Electronics,1,114.0,149.14
2025-05-18,Almonds & Cashews Trail Mix,Groceries,6,14.0,105.69
2025-05-19,Casual Canvas Sneakers,Fashion,1,57.75,72.9
2025-05-19,Slim Fit Denim Jeans,Fashion,1,45.0,57.21
2025-05-19,Organic Green Tea Box,Groceries,2,12.0,29.57
2025-05-20,Wireless Bluetooth Mouse,Electronics,4,22.5,112.04
2025-05-21,Smart Fitness Watch,Electronics,1,76.5,95.42
2025-05-22,Organic Green Tea Box,Groceries,2,10.8,26.69
2025-05-23,Casual Canvas Sneakers,Fashion,3,52.25,211.04
2025-05-23,Classic Leather Belt,Fashion,3,23.1,92.97
2025-05-24,Organic Green Tea Box,Groceries,2,12.0,31.75
2025-05-24,Non-Stick Frying Pan Set,Home & Kitchen,5,40.0,249.07
2025-05-24,Premium Extra Virgin Olive Oil,Groceries,3,20.9,83.1
2025-05-25,Premium Extra Virgin Olive Oil,Groceries,5,20.9,132.31
2025-05-25,Noise-Cancelling Headphones,Electronics,4,114.0,560.99
2025-05-26,Wireless Bluetooth Mouse,Electronics,2,26.25,69.24
2025-05-26,Classic Leather Belt,Fashion,2,22.0,55.64
2025-05-27,Slim Fit Denim Jeans,Fashion,1,45.0,60.55
2025-05-28,Classic Leather Belt,Fashion,2,22.0,56.26
2025-05-28,Air Fryer 4L,Home & Kitchen,3,95.0,367.54
2025-05-28,Almonds & Cashews Trail Mix,Groceries,2,14.0,34.59
2025-05-29,Cotton Crewneck T-Shirt,Fashion,3,18.9,74.06
2025-05-30,Automatic Drip Coffee Maker,Home & Kitchen,2,75.0,196.06
2025-05-30,Classic Leather Belt,Fashion,3,22.0,89.66
2025-05-31,Premium Extra Virgin Olive Oil,Groceries,4,23.1,119.98
2025-05-31,Smart Fitness Watch,Electronics,2,76.5,207.75
2025-05-31,Wireless Bluetooth Mouse,Electronics,5,23.75,147.71
2025-05-31,Cotton Crewneck T-Shirt,Fashion,3,18.0,67.11
2025-06-01,Organic Roasted Coffee Beans,Groceries,1,16.0,19.82
2025-06-01,Air Fryer 4L,Home & Kitchen,1,95.0,127.48
2025-06-01,Cotton Crewneck T-Shirt,Fashion,1,17.1,21.58
2025-06-01,Air Fryer 4L,Home & Kitchen,5,85.5,549.54
2025-06-02,Premium Extra Virgin Olive Oil,Groceries,2,19.8,52.43
2025-06-02,Wireless Bluetooth Mouse,Electronics,4,26.25,136.59
2025-06-03,Portable External SSD 1TB,Electronics,2,110.0,291.48
2025-06-03,Stainless Steel Water Bottle,Home & Kitchen,1,15.75,20.52
2025-06-03,Wireless Bluetooth Mouse,Electronics,4,26.25,139.3
2025-06-04,Stainless Steel Water Bottle,Home & Kitchen,2,15.0,40.92
2025-06-05,Slim Fit Denim Jeans,Fashion,4,47.25,243.42
2025-06-05,Cotton Crewneck T-Shirt,Fashion,3,18.0,68.85
2025-06-06,Non-Stick Frying Pan Set,Home & Kitchen,3,40.0,161.9
2025-06-07,Casual Canvas Sneakers,Fashion,6,57.75,462.62
2025-06-07,Smart Fitness Watch,Electronics,5,76.5,481.6
2025-06-07,Classic Leather Belt,Fashion,3,22.0,85.52
2025-06-08,Non-Stick Frying Pan Set,Home & Kitchen,5,36.0,228.17
2025-06-09,Organic Green Tea Box,Groceries,4,10.8,56.11
2025-06-10,Non-Stick Frying Pan Set,Home & Kitchen,1,40.0,54.27
2025-06-11,Slim Fit Denim Jeans,Fashion,4,45.0,233.23
2025-06-11,Premium Extra Virgin Olive Oil,Groceries,1,22.0,28.85
2025-06-11,Organic Roasted Coffee Beans,Groceries,3,15.2,61.61
2025-06-12,Classic Leather Belt,Fashion,1,19.8,27.39
2025-06-12,Non-Stick Frying Pan Set,Home & Kitchen,3,40.0,163.89
2025-06-13,Casual Canvas Sneakers,Fashion,3,52.25,207.41
2025-06-13,Classic Leather Belt,Fashion,3,22.0,91.61
2025-06-13,Casual Canvas Sneakers,Fashion,4,55.0,287.78
2025-06-14,Cotton Crewneck T-Shirt,Fashion,6,17.1,135.41
2025-06-14,Stainless Steel Water Bottle,Home & Kitchen,6,14.25,115.06
2025-06-14,Casual Canvas Sneakers,Fashion,3,55.0,209.78
2025-06-15,Organic Green Tea Box,Groceries,2,12.0,32.56
2025-06-15,Wireless Bluetooth Mouse,Electronics,3,25.0,96.42
2025-06-15,Smart Fitness Watch,Electronics,6,85.0,709.89
2025-06-15,Organic Roasted Coffee Beans,Groceries,1,15.2,20.24
2025-06-16,Classic Leather Belt,Fashion,3,23.1,94.07
